TargetID,和名,グループ,水域,主環境,候補釣法,ContentPriority,TypicalSize,TrophyThreshold,Season,TimeOfDay,Depth,DataStatus,SourceURL,Notes
target-025,ギンガメアジ,沿岸小型魚,海水,港湾/沿岸/堤防,ライトルアー|サビキ|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-026,メバル,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-027,クロメバル,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-028,アカメバル,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-029,シロメバル,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-030,カサゴ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-031,ウッカリカサゴ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-032,キジハタ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-033,アカハタ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-034,オオモンハタ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-035,マハタ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-036,クエ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-037,アオハタ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-038,ホウセキハタ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-039,イヤゴハタ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-040,アイナメ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-041,クジメ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-042,クロソイ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-043,ムラソイ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-044,ベッコウゾイ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-045,タケノコメバル,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-046,エゾメバル,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-047,ハチガラ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-048,オニカサゴ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-049,ユメカサゴ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-050,アヤメカサゴ,根魚・ロックフィッシュ,海水,岩礁/テトラ/磯/堤防,ロック|底|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-051,スズキ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-052,ヒラスズキ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-053,タイリクスズキ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-054,クロダイ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-055,キビレ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-056,ヘダイ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-057,コショウダイ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-058,シマイサキ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-059,ボラ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-060,メナダ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-061,マハゼ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-062,ウロハゼ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-063,チチブ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-064,ヌマチチブ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-065,カワアナゴ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-066,アカメ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-067,ウナギ,スズキ・河口,海水/汽水,河口/都市河川/港湾,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-068,マダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-069,チダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-070,キダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-071,イシダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-072,イシガキダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-073,メジナ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-074,クロメジナ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-075,イスズミ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-076,ブダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-077,コブダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-078,アイゴ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-079,ニザダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-080,タカノハダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-081,ウミタナゴ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-082,カゴカキダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-083,フエフキダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-084,ハマフエフキ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-085,タマン,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-086,コロダイ,タイ・磯魚,海水,磯/堤防/沿岸,ルアー|餌,Regional,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-087,ヒラメ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-088,マゴチ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-089,イシガレイ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-090,マコガレイ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-091,クロガシラガレイ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-092,ヌマガレイ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-093,ソウハチ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-094,ムシガレイ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-095,ババガレイ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-096,ホシガレイ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-097,カワハギ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-098,ウマヅラハギ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-099,ウスバハギ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-100,シロギス,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-101,イトヨリダイ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-102,ホウボウ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-103,カナガシラ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-104,マアナゴ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-105,クロアナゴ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-106,ハモ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-107,アカエイ,フラット・底物,海水,砂地/底層/沿岸,ルアー|餌,Tokyo/Early,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-108,ブリ,回遊・青物,海水,沿岸〜沖/回遊,ショアジギ|キャスティング|船,Mid/Late,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-109,ヒラマサ,回遊・青物,海水,沿岸〜沖/回遊,ショアジギ|キャスティング|船,Mid/Late,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-110,カンパチ,回遊・青物,海水,沿岸〜沖/回遊,ショアジギ|キャスティング|船,Mid/Late,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-111,サワラ,回遊・青物,海水,沿岸〜沖/回遊,ショアジギ|キャスティング|船,Mid/Late,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-112,スマ,回遊・青物,海水,沿岸〜沖/回遊,ショアジギ|キャスティング|船,Mid/Late,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-113,カツオ,回遊・青物,海水,沿岸〜沖/回遊,ショアジギ|キャスティング|船,Mid/Late,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-114,ヒラソウダ,回遊・青物,海水,沿岸〜沖/回遊,ショアジギ|キャスティング|船,Mid/Late,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
target-115,マルソウダ,回遊・青物,海水,沿岸〜沖/回遊,ショアジギ|キャスティング|船,Mid/Late,未設定,未設定,未設定,未設定,未設定,DRAFT_UNVERIFIED,,本番投入前にサイズ・季節・分布・規制・学名を個別確認
