GearID,Brand,Series,LineType,StrengthKg,DiameterMm,Stretch,AbrasionResistance,Visibility,Sensitivity,PriceJPY,Status
line-0020,Shimara,SUPPLE NYLON,Nylon,20,0.47,0.86,0.68,0.5,0.74,3200,FICTIONAL_CONTENT
line-0021,Gamakaze,ROCK FLUORO,Fluoro,2,0.17,0.55,0.92,0.4,0.58,1400,FICTIONAL_CONTENT
line-0022,Gamakaze,ROCK FLUORO,Fluoro,3,0.208,0.55,0.92,0.4,0.58,1500,FICTIONAL_CONTENT
line-0023,Gamakaze,ROCK FLUORO,Fluoro,4,0.24,0.55,0.92,0.4,0.58,1600,FICTIONAL_CONTENT
line-0024,Gamakaze,ROCK FLUORO,Fluoro,5,0.268,0.55,0.92,0.4,0.58,1700,FICTIONAL_CONTENT
line-0025,Gamakaze,ROCK FLUORO,Fluoro,6,0.294,0.55,0.92,0.4,0.58,1800,FICTIONAL_CONTENT
line-0026,Gamakaze,ROCK FLUORO,Fluoro,8,0.339,0.55,0.92,0.4,0.58,2100,FICTIONAL_CONTENT
line-0027,Gamakaze,ROCK FLUORO,Fluoro,10,0.379,0.55,0.92,0.4,0.58,2300,FICTIONAL_CONTENT
line-0028,Gamakaze,ROCK FLUORO,Fluoro,12,0.416,0.55,0.92,0.4,0.58,2500,FICTIONAL_CONTENT
line-0029,Gamakaze,ROCK FLUORO,Fluoro,15,0.465,0.55,0.92,0.4,0.58,2900,FICTIONAL_CONTENT
line-0030,Gamakaze,ROCK FLUORO,Fluoro,20,0.537,0.55,0.92,0.4,0.58,3500,FICTIONAL_CONTENT
line-0031,Gamakaze,ROCK FLUORO,Fluoro,25,0.6,0.55,0.92,0.4,0.58,4000,FICTIONAL_CONTENT
line-0032,Gamakaze,ROCK FLUORO,Fluoro,30,0.657,0.55,0.92,0.4,0.58,4600,FICTIONAL_CONTENT
line-0033,Owner's Edge,STEALTH FLUORO,Fluoro,2,0.163,0.58,0.88,0.32,0.62,1400,FICTIONAL_CONTENT
line-0034,Owner's Edge,STEALTH FLUORO,Fluoro,3,0.199,0.58,0.88,0.32,0.62,1500,FICTIONAL_CONTENT
line-0035,Owner's Edge,STEALTH FLUORO,Fluoro,4,0.23,0.58,0.88,0.32,0.62,1600,FICTIONAL_CONTENT
line-0036,Owner's Edge,STEALTH FLUORO,Fluoro,5,0.257,0.58,0.88,0.32,0.62,1700,FICTIONAL_CONTENT
line-0037,Owner's Edge,STEALTH FLUORO,Fluoro,6,0.282,0.58,0.88,0.32,0.62,1800,FICTIONAL_CONTENT
line-0038,Owner's Edge,STEALTH FLUORO,Fluoro,8,0.325,0.58,0.88,0.32,0.62,2100,FICTIONAL_CONTENT
line-0039,Owner's Edge,STEALTH FLUORO,Fluoro,10,0.364,0.58,0.88,0.32,0.62,2300,FICTIONAL_CONTENT
line-0040,Owner's Edge,STEALTH FLUORO,Fluoro,12,0.398,0.58,0.88,0.32,0.62,2500,FICTIONAL_CONTENT
line-0041,Owner's Edge,STEALTH FLUORO,Fluoro,15,0.445,0.58,0.88,0.32,0.62,2900,FICTIONAL_CONTENT
line-0042,Owner's Edge,STEALTH FLUORO,Fluoro,20,0.514,0.58,0.88,0.32,0.62,3500,FICTIONAL_CONTENT
line-0043,Owner's Edge,STEALTH FLUORO,Fluoro,25,0.575,0.58,0.88,0.32,0.62,4000,FICTIONAL_CONTENT
line-0044,Owner's Edge,STEALTH FLUORO,Fluoro,30,0.63,0.58,0.88,0.32,0.62,4600,FICTIONAL_CONTENT
line-0045,Shimara,SENSING PE,PE,2,0.099,0.25,0.63,0.88,0.94,2000,FICTIONAL_CONTENT
line-0046,Shimara,SENSING PE,PE,3,0.121,0.25,0.63,0.88,0.94,2100,FICTIONAL_CONTENT
line-0047,Shimara,SENSING PE,PE,4,0.14,0.25,0.63,0.88,0.94,2300,FICTIONAL_CONTENT
line-0048,Shimara,SENSING PE,PE,5,0.157,0.25,0.63,0.88,0.94,2400,FICTIONAL_CONTENT
line-0049,Shimara,SENSING PE,PE,6,0.171,0.25,0.63,0.88,0.94,2500,FICTIONAL_CONTENT
line-0050,Shimara,SENSING PE,PE,8,0.198,0.25,0.63,0.88,0.94,2700,FICTIONAL_CONTENT
line-0051,Shimara,SENSING PE,PE,10,0.221,0.25,0.63,0.88,0.94,3000,FICTIONAL_CONTENT
line-0052,Shimara,SENSING PE,PE,12,0.242,0.25,0.63,0.88,0.94,3200,FICTIONAL_CONTENT
line-0053,Shimara,SENSING PE,PE,15,0.271,0.25,0.63,0.88,0.94,3500,FICTIONAL_CONTENT
line-0054,Shimara,SENSING PE,PE,20,0.313,0.25,0.63,0.88,0.94,4100,FICTIONAL_CONTENT
line-0055,Shimara,SENSING PE,PE,25,0.35,0.25,0.63,0.88,0.94,4700,FICTIONAL_CONTENT
line-0056,Shimara,SENSING PE,PE,30,0.383,0.25,0.63,0.88,0.94,5300,FICTIONAL_CONTENT
line-0057,Shimara,SENSING PE,PE,40,0.443,0.25,0.63,0.88,0.94,6400,FICTIONAL_CONTENT
line-0058,Shimara,SENSING PE,PE,50,0.495,0.25,0.63,0.88,0.94,7600,FICTIONAL_CONTENT
line-0059,Shimara,SENSING PE,PE,60,0.542,0.25,0.63,0.88,0.94,8700,FICTIONAL_CONTENT
line-0060,Daiva,LIGHT PE,PE,2,0.092,0.22,0.58,0.84,0.96,2000,FICTIONAL_CONTENT
line-0061,Daiva,LIGHT PE,PE,3,0.113,0.22,0.58,0.84,0.96,2100,FICTIONAL_CONTENT
line-0062,Daiva,LIGHT PE,PE,4,0.13,0.22,0.58,0.84,0.96,2300,FICTIONAL_CONTENT
line-0063,Daiva,LIGHT PE,PE,5,0.145,0.22,0.58,0.84,0.96,2400,FICTIONAL_CONTENT
line-0064,Daiva,LIGHT PE,PE,6,0.159,0.22,0.58,0.84,0.96,2500,FICTIONAL_CONTENT
line-0065,Daiva,LIGHT PE,PE,8,0.184,0.22,0.58,0.84,0.96,2700,FICTIONAL_CONTENT
line-0066,Daiva,LIGHT PE,PE,10,0.206,0.22,0.58,0.84,0.96,3000,FICTIONAL_CONTENT
line-0067,Daiva,LIGHT PE,PE,12,0.225,0.22,0.58,0.84,0.96,3200,FICTIONAL_CONTENT
line-0068,Daiva,LIGHT PE,PE,15,0.252,0.22,0.58,0.84,0.96,3500,FICTIONAL_CONTENT
line-0069,Daiva,LIGHT PE,PE,20,0.291,0.22,0.58,0.84,0.96,4100,FICTIONAL_CONTENT
line-0070,Daiva,LIGHT PE,PE,25,0.325,0.22,0.58,0.84,0.96,4700,FICTIONAL_CONTENT
line-0071,Daiva,LIGHT PE,PE,30,0.356,0.22,0.58,0.84,0.96,5300,FICTIONAL_CONTENT
line-0072,Daiva,LIGHT PE,PE,40,0.411,0.22,0.58,0.84,0.96,6400,FICTIONAL_CONTENT
line-0073,Daiva,LIGHT PE,PE,50,0.46,0.22,0.58,0.84,0.96,7600,FICTIONAL_CONTENT
line-0074,Daiva,LIGHT PE,PE,60,0.503,0.22,0.58,0.84,0.96,8700,FICTIONAL_CONTENT
line-0075,Tail Walker,POWER PE,PE,2,0.106,0.26,0.72,0.86,0.88,2000,FICTIONAL_CONTENT
line-0076,Tail Walker,POWER PE,PE,3,0.13,0.26,0.72,0.86,0.88,2100,FICTIONAL_CONTENT
line-0077,Tail Walker,POWER PE,PE,4,0.15,0.26,0.72,0.86,0.88,2300,FICTIONAL_CONTENT
line-0078,Tail Walker,POWER PE,PE,5,0.168,0.26,0.72,0.86,0.88,2400,FICTIONAL_CONTENT
line-0079,Tail Walker,POWER PE,PE,6,0.184,0.26,0.72,0.86,0.88,2500,FICTIONAL_CONTENT
line-0080,Tail Walker,POWER PE,PE,8,0.212,0.26,0.72,0.86,0.88,2700,FICTIONAL_CONTENT
line-0081,Tail Walker,POWER PE,PE,10,0.237,0.26,0.72,0.86,0.88,3000,FICTIONAL_CONTENT
line-0082,Tail Walker,POWER PE,PE,12,0.26,0.26,0.72,0.86,0.88,3200,FICTIONAL_CONTENT
line-0083,Tail Walker,POWER PE,PE,15,0.29,0.26,0.72,0.86,0.88,3500,FICTIONAL_CONTENT
line-0084,Tail Walker,POWER PE,PE,20,0.335,0.26,0.72,0.86,0.88,4100,FICTIONAL_CONTENT
line-0085,Tail Walker,POWER PE,PE,25,0.375,0.26,0.72,0.86,0.88,4700,FICTIONAL_CONTENT
line-0086,Tail Walker,POWER PE,PE,30,0.411,0.26,0.72,0.86,0.88,5300,FICTIONAL_CONTENT
line-0087,Tail Walker,POWER PE,PE,40,0.474,0.26,0.72,0.86,0.88,6400,FICTIONAL_CONTENT
line-0088,Tail Walker,POWER PE,PE,50,0.53,0.26,0.72,0.86,0.88,7600,FICTIONAL_CONTENT
line-0089,Tail Walker,POWER PE,PE,60,0.581,0.26,0.72,0.86,0.88,8700,FICTIONAL_CONTENT
