GearID,Brand,Name,LureType,WeightG,LengthMm,DepthRange,RetrieveStyle,VisualProfile,Casting,ActionScore,FinesseAffinity,PowerAffinity,Tags,PriceJPY,Status
lure-0037,Megaburst,Shad 67 Natural,shad,5,67,shallow-mid,steady,natural,64,68,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0038,Megaburst,Shad 67 Flash,shad,5,67,shallow-mid,steady,flash,64,68,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0039,Megaburst,Shad 74 Natural,shad,7,74,shallow-mid,steady,natural,66,70,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0040,Megaburst,Shad 74 Flash,shad,7,74,shallow-mid,steady,flash,66,70,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0041,Megaburst,Shad 81 Natural,shad,10,81,shallow-mid,steady,natural,69,72,71,51,allround,1700,FICTIONAL_CONTENT
lure-0042,Megaburst,Shad 81 Flash,shad,10,81,shallow-mid,steady,flash,69,72,71,51,allround,1700,FICTIONAL_CONTENT
lure-0043,Megaburst,Shad 88 Natural,shad,14,88,shallow-mid,steady,natural,73,74,66,55,allround,1900,FICTIONAL_CONTENT
lure-0044,Megaburst,Shad 88 Flash,shad,14,88,shallow-mid,steady,flash,73,74,66,55,allround,1900,FICTIONAL_CONTENT
lure-0045,Megaburst,Crankbait 55 Natural,crankbait,5,55,mid,steady,natural,64,66,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0046,Megaburst,Crankbait 55 Flash,crankbait,5,55,mid,steady,flash,64,66,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0047,Megaburst,Crankbait 62 Natural,crankbait,7,62,mid,steady,natural,66,68,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0048,Megaburst,Crankbait 62 Flash,crankbait,7,62,mid,steady,flash,66,68,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0049,Megaburst,Crankbait 69 Natural,crankbait,10,69,mid,steady,natural,69,70,71,51,allround,1700,FICTIONAL_CONTENT
lure-0050,Megaburst,Crankbait 69 Flash,crankbait,10,69,mid,steady,flash,69,70,71,51,allround,1700,FICTIONAL_CONTENT
lure-0051,Megaburst,Crankbait 76 Natural,crankbait,14,76,mid,steady,natural,73,72,66,55,allround,1900,FICTIONAL_CONTENT
lure-0052,Megaburst,Crankbait 76 Flash,crankbait,14,76,mid,steady,flash,73,72,66,55,allround,1900,FICTIONAL_CONTENT
lure-0053,Megaburst,Crankbait 83 Natural,crankbait,18,83,mid,steady,natural,78,74,61,58,allround,2100,FICTIONAL_CONTENT
lure-0054,Megaburst,Crankbait 83 Flash,crankbait,18,83,mid,steady,flash,78,74,61,58,allround,2100,FICTIONAL_CONTENT
lure-0055,Megaburst,Jerkbait 100 Natural,jerkbait,7,100,shallow-mid,jerk/pause,natural,66,66,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0056,Megaburst,Jerkbait 100 Flash,jerkbait,7,100,shallow-mid,jerk/pause,flash,66,66,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0057,Megaburst,Jerkbait 107 Natural,jerkbait,10,107,shallow-mid,jerk/pause,natural,69,68,71,51,allround,1700,FICTIONAL_CONTENT
lure-0058,Megaburst,Jerkbait 107 Flash,jerkbait,10,107,shallow-mid,jerk/pause,flash,69,68,71,51,allround,1700,FICTIONAL_CONTENT
lure-0059,Megaburst,Jerkbait 114 Natural,jerkbait,14,114,shallow-mid,jerk/pause,natural,73,70,66,55,allround,1900,FICTIONAL_CONTENT
lure-0060,Megaburst,Jerkbait 114 Flash,jerkbait,14,114,shallow-mid,jerk/pause,flash,73,70,66,55,allround,1900,FICTIONAL_CONTENT
lure-0061,Megaburst,Jerkbait 121 Natural,jerkbait,18,121,shallow-mid,jerk/pause,natural,78,72,61,58,allround,2100,FICTIONAL_CONTENT
lure-0062,Megaburst,Jerkbait 121 Flash,jerkbait,18,121,shallow-mid,jerk/pause,flash,78,72,61,58,allround,2100,FICTIONAL_CONTENT
lure-0063,Megaburst,Jerkbait 128 Natural,jerkbait,24,128,shallow-mid,jerk/pause,natural,84,74,53,64,allround,2400,FICTIONAL_CONTENT
lure-0064,Megaburst,Jerkbait 128 Flash,jerkbait,24,128,shallow-mid,jerk/pause,flash,84,74,53,64,allround,2400,FICTIONAL_CONTENT
lure-0065,Evergreen Field,Minnow 85 Natural,minnow,5,85,shallow-mid,steady/twitch,natural,56,66,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0066,Evergreen Field,Minnow 85 Flash,minnow,5,85,shallow-mid,steady/twitch,flash,56,66,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0067,Evergreen Field,Minnow 92 Natural,minnow,7,92,shallow-mid,steady/twitch,natural,58,68,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0068,Evergreen Field,Minnow 92 Flash,minnow,7,92,shallow-mid,steady/twitch,flash,58,68,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0069,Evergreen Field,Minnow 99 Natural,minnow,10,99,shallow-mid,steady/twitch,natural,61,70,71,51,allround,1700,FICTIONAL_CONTENT
lure-0070,Evergreen Field,Minnow 99 Flash,minnow,10,99,shallow-mid,steady/twitch,flash,61,70,71,51,allround,1700,FICTIONAL_CONTENT
lure-0071,Evergreen Field,Minnow 106 Natural,minnow,14,106,shallow-mid,steady/twitch,natural,65,72,66,55,allround,1900,FICTIONAL_CONTENT
lure-0072,Evergreen Field,Minnow 106 Flash,minnow,14,106,shallow-mid,steady/twitch,flash,65,72,66,55,allround,1900,FICTIONAL_CONTENT
lure-0073,Evergreen Field,Minnow 113 Natural,minnow,18,113,shallow-mid,steady/twitch,natural,70,74,61,58,allround,2100,FICTIONAL_CONTENT
lure-0074,Evergreen Field,Minnow 113 Flash,minnow,18,113,shallow-mid,steady/twitch,flash,70,74,61,58,allround,2100,FICTIONAL_CONTENT
lure-0075,Evergreen Field,Minnow 120 Natural,minnow,24,120,shallow-mid,steady/twitch,natural,76,76,53,64,allround,2400,FICTIONAL_CONTENT
lure-0076,Evergreen Field,Minnow 120 Flash,minnow,24,120,shallow-mid,steady/twitch,flash,76,76,53,64,allround,2400,FICTIONAL_CONTENT
lure-0077,Evergreen Field,Crankbait 55 Natural,crankbait,5,55,mid,steady,natural,56,66,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0078,Evergreen Field,Crankbait 55 Flash,crankbait,5,55,mid,steady,flash,56,66,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0079,Evergreen Field,Crankbait 62 Natural,crankbait,7,62,mid,steady,natural,58,68,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0080,Evergreen Field,Crankbait 62 Flash,crankbait,7,62,mid,steady,flash,58,68,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0081,Evergreen Field,Crankbait 69 Natural,crankbait,10,69,mid,steady,natural,61,70,71,51,allround,1700,FICTIONAL_CONTENT
lure-0082,Evergreen Field,Crankbait 69 Flash,crankbait,10,69,mid,steady,flash,61,70,71,51,allround,1700,FICTIONAL_CONTENT
lure-0083,Evergreen Field,Crankbait 76 Natural,crankbait,14,76,mid,steady,natural,65,72,66,55,allround,1900,FICTIONAL_CONTENT
lure-0084,Evergreen Field,Crankbait 76 Flash,crankbait,14,76,mid,steady,flash,65,72,66,55,allround,1900,FICTIONAL_CONTENT
lure-0085,Evergreen Field,Crankbait 83 Natural,crankbait,18,83,mid,steady,natural,70,74,61,58,allround,2100,FICTIONAL_CONTENT
lure-0086,Evergreen Field,Crankbait 83 Flash,crankbait,18,83,mid,steady,flash,70,74,61,58,allround,2100,FICTIONAL_CONTENT
lure-0087,Evergreen Field,Soft Plastic 65 Natural,soft_plastic,2,65,variable,jighead/texas,natural,52,66,81,44,small-bait|finesse,1300,FICTIONAL_CONTENT
lure-0088,Evergreen Field,Soft Plastic 65 Flash,soft_plastic,2,65,variable,jighead/texas,flash,52,66,81,44,small-bait|finesse,1300,FICTIONAL_CONTENT
lure-0089,Evergreen Field,Soft Plastic 72 Natural,soft_plastic,3,72,variable,jighead/texas,natural,53,68,80,45,small-bait|finesse,1400,FICTIONAL_CONTENT
lure-0090,Evergreen Field,Soft Plastic 72 Flash,soft_plastic,3,72,variable,jighead/texas,flash,53,68,80,45,small-bait|finesse,1400,FICTIONAL_CONTENT
lure-0091,Evergreen Field,Soft Plastic 79 Natural,soft_plastic,5,79,variable,jighead/texas,natural,56,70,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0092,Evergreen Field,Soft Plastic 79 Flash,soft_plastic,5,79,variable,jighead/texas,flash,56,70,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0093,Evergreen Field,Soft Plastic 86 Natural,soft_plastic,7,86,variable,jighead/texas,natural,58,72,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0094,Evergreen Field,Soft Plastic 86 Flash,soft_plastic,7,86,variable,jighead/texas,flash,58,72,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0095,Evergreen Field,Soft Plastic 93 Natural,soft_plastic,10,93,variable,jighead/texas,natural,61,74,71,51,allround,1700,FICTIONAL_CONTENT
lure-0096,Evergreen Field,Soft Plastic 93 Flash,soft_plastic,10,93,variable,jighead/texas,flash,61,74,71,51,allround,1700,FICTIONAL_CONTENT
lure-0097,Evergreen Field,Soft Plastic 100 Natural,soft_plastic,14,100,variable,jighead/texas,natural,65,76,66,55,allround,1900,FICTIONAL_CONTENT
lure-0098,Evergreen Field,Soft Plastic 100 Flash,soft_plastic,14,100,variable,jighead/texas,flash,65,76,66,55,allround,1900,FICTIONAL_CONTENT
lure-0099,Evergreen Field,Spinner 45 Natural,spinner,2,45,shallow-mid,steady,natural,52,66,81,44,small-bait|finesse,1300,FICTIONAL_CONTENT
lure-0100,Evergreen Field,Spinner 45 Flash,spinner,2,45,shallow-mid,steady,flash,52,66,81,44,small-bait|finesse,1300,FICTIONAL_CONTENT
lure-0101,Evergreen Field,Spinner 52 Natural,spinner,3,52,shallow-mid,steady,natural,53,68,80,45,small-bait|finesse,1400,FICTIONAL_CONTENT
lure-0102,Evergreen Field,Spinner 52 Flash,spinner,3,52,shallow-mid,steady,flash,53,68,80,45,small-bait|finesse,1400,FICTIONAL_CONTENT
lure-0103,Evergreen Field,Spinner 59 Natural,spinner,5,59,shallow-mid,steady,natural,56,70,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0104,Evergreen Field,Spinner 59 Flash,spinner,5,59,shallow-mid,steady,flash,56,70,78,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0105,Evergreen Field,Spinner 66 Natural,spinner,7,66,shallow-mid,steady,natural,58,72,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0106,Evergreen Field,Spinner 66 Flash,spinner,7,66,shallow-mid,steady,flash,58,72,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0107,Evergreen Field,Spinner 73 Natural,spinner,10,73,shallow-mid,steady,natural,61,74,71,51,allround,1700,FICTIONAL_CONTENT
lure-0108,Evergreen Field,Spinner 73 Flash,spinner,10,73,shallow-mid,steady,flash,61,74,71,51,allround,1700,FICTIONAL_CONTENT
lure-0109,Evergreen Field,Topwater 95 Natural,topwater,6,95,surface,walk/pop,natural,57,66,76,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0110,Evergreen Field,Topwater 95 Flash,topwater,6,95,surface,walk/pop,flash,57,66,76,47,small-bait|finesse,1500,FICTIONAL_CONTENT
lure-0111,Evergreen Field,Topwater 102 Natural,topwater,8,102,surface,walk/pop,natural,59,68,74,49,allround,1600,FICTIONAL_CONTENT
lure-0112,Evergreen Field,Topwater 102 Flash,topwater,8,102,surface,walk/pop,flash,59,68,74,49,allround,1600,FICTIONAL_CONTENT
lure-0113,Evergreen Field,Topwater 109 Natural,topwater,12,109,surface,walk/pop,natural,63,70,68,53,allround,1800,FICTIONAL_CONTENT
lure-0114,Evergreen Field,Topwater 109 Flash,topwater,12,109,surface,walk/pop,flash,63,70,68,53,allround,1800,FICTIONAL_CONTENT
lure-0115,Evergreen Field,Topwater 116 Natural,topwater,18,116,surface,walk/pop,natural,70,72,61,58,allround,2100,FICTIONAL_CONTENT
lure-0116,Evergreen Field,Topwater 116 Flash,topwater,18,116,surface,walk/pop,flash,70,72,61,58,allround,2100,FICTIONAL_CONTENT
lure-0117,Evergreen Field,Topwater 123 Natural,topwater,25,123,surface,walk/pop,natural,78,74,52,65,power|distance,2500,FICTIONAL_CONTENT
lure-0118,Evergreen Field,Topwater 123 Flash,topwater,25,123,surface,walk/pop,flash,78,74,52,65,power|distance,2500,FICTIONAL_CONTENT
lure-0119,Evergreen Field,Jerkbait 100 Natural,jerkbait,7,100,shallow-mid,jerk/pause,natural,58,66,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0120,Evergreen Field,Jerkbait 100 Flash,jerkbait,7,100,shallow-mid,jerk/pause,flash,58,66,75,48,small-bait|finesse,1600,FICTIONAL_CONTENT
lure-0121,Evergreen Field,Jerkbait 107 Natural,jerkbait,10,107,shallow-mid,jerk/pause,natural,61,68,71,51,allround,1700,FICTIONAL_CONTENT
lure-0122,Evergreen Field,Jerkbait 107 Flash,jerkbait,10,107,shallow-mid,jerk/pause,flash,61,68,71,51,allround,1700,FICTIONAL_CONTENT
lure-0123,Evergreen Field,Jerkbait 114 Natural,jerkbait,14,114,shallow-mid,jerk/pause,natural,65,70,66,55,allround,1900,FICTIONAL_CONTENT
lure-0124,Evergreen Field,Jerkbait 114 Flash,jerkbait,14,114,shallow-mid,jerk/pause,flash,65,70,66,55,allround,1900,FICTIONAL_CONTENT
lure-0125,Evergreen Field,Jerkbait 121 Natural,jerkbait,18,121,shallow-mid,jerk/pause,natural,70,72,61,58,allround,2100,FICTIONAL_CONTENT
lure-0126,Evergreen Field,Jerkbait 121 Flash,jerkbait,18,121,shallow-mid,jerk/pause,flash,70,72,61,58,allround,2100,FICTIONAL_CONTENT
lure-0127,Evergreen Field,Jerkbait 128 Natural,jerkbait,24,128,shallow-mid,jerk/pause,natural,76,74,53,64,allround,2400,FICTIONAL_CONTENT
lure-0128,Evergreen Field,Jerkbait 128 Flash,jerkbait,24,128,shallow-mid,jerk/pause,flash,76,74,53,64,allround,2400,FICTIONAL_CONTENT
lure-0129,Yamashiro,Egi 90 Natural,egi,8,90,mid,jerk/fall,natural,59,62,74,49,allround,1400,FICTIONAL_CONTENT
lure-0130,Yamashiro,Egi 90 Flash,egi,8,90,mid,jerk/fall,flash,59,62,74,49,allround,1400,FICTIONAL_CONTENT
lure-0131,Yamashiro,Egi 97 Natural,egi,10,97,mid,jerk/fall,natural,61,64,71,51,allround,1500,FICTIONAL_CONTENT
lure-0132,Yamashiro,Egi 97 Flash,egi,10,97,mid,jerk/fall,flash,61,64,71,51,allround,1500,FICTIONAL_CONTENT
lure-0133,Yamashiro,Egi 104 Natural,egi,15,104,mid,jerk/fall,natural,67,66,65,56,allround,1800,FICTIONAL_CONTENT
lure-0134,Yamashiro,Egi 104 Flash,egi,15,104,mid,jerk/fall,flash,67,66,65,56,allround,1800,FICTIONAL_CONTENT
lure-0135,Yamashiro,Egi 111 Natural,egi,20,111,mid,jerk/fall,natural,72,68,58,60,allround,2000,FICTIONAL_CONTENT
lure-0136,Yamashiro,Egi 111 Flash,egi,20,111,mid,jerk/fall,flash,72,68,58,60,allround,2000,FICTIONAL_CONTENT
lure-0137,Yamashiro,Egi 118 Natural,egi,25,118,mid,jerk/fall,natural,78,70,52,65,power|distance,2300,FICTIONAL_CONTENT
lure-0138,Yamashiro,Egi 118 Flash,egi,25,118,mid,jerk/fall,flash,78,70,52,65,power|distance,2300,FICTIONAL_CONTENT
lure-0139,Yamashiro,Minnow 85 Natural,minnow,5,85,shallow-mid,steady/twitch,natural,56,62,78,47,small-bait|finesse,1300,FICTIONAL_CONTENT
lure-0140,Yamashiro,Minnow 85 Flash,minnow,5,85,shallow-mid,steady/twitch,flash,56,62,78,47,small-bait|finesse,1300,FICTIONAL_CONTENT
lure-0141,Yamashiro,Minnow 92 Natural,minnow,7,92,shallow-mid,steady/twitch,natural,58,64,75,48,small-bait|finesse,1400,FICTIONAL_CONTENT
lure-0142,Yamashiro,Minnow 92 Flash,minnow,7,92,shallow-mid,steady/twitch,flash,58,64,75,48,small-bait|finesse,1400,FICTIONAL_CONTENT
lure-0143,Yamashiro,Minnow 99 Natural,minnow,10,99,shallow-mid,steady/twitch,natural,61,66,71,51,allround,1500,FICTIONAL_CONTENT
lure-0144,Yamashiro,Minnow 99 Flash,minnow,10,99,shallow-mid,steady/twitch,flash,61,66,71,51,allround,1500,FICTIONAL_CONTENT
lure-0145,Yamashiro,Minnow 106 Natural,minnow,14,106,shallow-mid,steady/twitch,natural,65,68,66,55,allround,1700,FICTIONAL_CONTENT
lure-0146,Yamashiro,Minnow 106 Flash,minnow,14,106,shallow-mid,steady/twitch,flash,65,68,66,55,allround,1700,FICTIONAL_CONTENT
lure-0147,Yamashiro,Minnow 113 Natural,minnow,18,113,shallow-mid,steady/twitch,natural,70,70,61,58,allround,1900,FICTIONAL_CONTENT
lure-0148,Yamashiro,Minnow 113 Flash,minnow,18,113,shallow-mid,steady/twitch,flash,70,70,61,58,allround,1900,FICTIONAL_CONTENT
lure-0149,Yamashiro,Minnow 120 Natural,minnow,24,120,shallow-mid,steady/twitch,natural,76,72,53,64,allround,2200,FICTIONAL_CONTENT
lure-0150,Yamashiro,Minnow 120 Flash,minnow,24,120,shallow-mid,steady/twitch,flash,76,72,53,64,allround,2200,FICTIONAL_CONTENT
lure-0151,Yamashiro,Soft Plastic 65 Natural,soft_plastic,2,65,variable,jighead/texas,natural,52,62,81,44,small-bait|finesse,1100,FICTIONAL_CONTENT
lure-0152,Yamashiro,Soft Plastic 65 Flash,soft_plastic,2,65,variable,jighead/texas,flash,52,62,81,44,small-bait|finesse,1100,FICTIONAL_CONTENT
lure-0153,Yamashiro,Soft Plastic 72 Natural,soft_plastic,3,72,variable,jighead/texas,natural,53,64,80,45,small-bait|finesse,1200,FICTIONAL_CONTENT
lure-0154,Yamashiro,Soft Plastic 72 Flash,soft_plastic,3,72,variable,jighead/texas,flash,53,64,80,45,small-bait|finesse,1200,FICTIONAL_CONTENT
lure-0155,Yamashiro,Soft Plastic 79 Natural,soft_plastic,5,79,variable,jighead/texas,natural,56,66,78,47,small-bait|finesse,1300,FICTIONAL_CONTENT
lure-0156,Yamashiro,Soft Plastic 79 Flash,soft_plastic,5,79,variable,jighead/texas,flash,56,66,78,47,small-bait|finesse,1300,FICTIONAL_CONTENT
lure-0157,Yamashiro,Soft Plastic 86 Natural,soft_plastic,7,86,variable,jighead/texas,natural,58,68,75,48,small-bait|finesse,1400,FICTIONAL_CONTENT
lure-0158,Yamashiro,Soft Plastic 86 Flash,soft_plastic,7,86,variable,jighead/texas,flash,58,68,75,48,small-bait|finesse,1400,FICTIONAL_CONTENT
lure-0159,Yamashiro,Soft Plastic 93 Natural,soft_plastic,10,93,variable,jighead/texas,natural,61,70,71,51,allround,1500,FICTIONAL_CONTENT
lure-0160,Yamashiro,Soft Plastic 93 Flash,soft_plastic,10,93,variable,jighead/texas,flash,61,70,71,51,allround,1500,FICTIONAL_CONTENT
lure-0161,Yamashiro,Soft Plastic 100 Natural,soft_plastic,14,100,variable,jighead/texas,natural,65,72,66,55,allround,1700,FICTIONAL_CONTENT
lure-0162,Yamashiro,Soft Plastic 100 Flash,soft_plastic,14,100,variable,jighead/texas,flash,65,72,66,55,allround,1700,FICTIONAL_CONTENT
lure-0163,Yamashiro,Metal Vibration 55 Natural,metal_vibration,10,55,mid-deep,steady/lift-fall,natural,61,62,71,51,allround,1500,FICTIONAL_CONTENT
lure-0164,Yamashiro,Metal Vibration 55 Flash,metal_vibration,10,55,mid-deep,steady/lift-fall,flash,61,62,71,51,allround,1500,FICTIONAL_CONTENT
lure-0165,Yamashiro,Metal Vibration 62 Natural,metal_vibration,14,62,mid-deep,steady/lift-fall,natural,65,64,66,55,allround,1700,FICTIONAL_CONTENT
lure-0166,Yamashiro,Metal Vibration 62 Flash,metal_vibration,14,62,mid-deep,steady/lift-fall,flash,65,64,66,55,allround,1700,FICTIONAL_CONTENT
lure-0167,Yamashiro,Metal Vibration 69 Natural,metal_vibration,20,69,mid-deep,steady/lift-fall,natural,72,66,58,60,allround,2000,FICTIONAL_CONTENT
lure-0168,Yamashiro,Metal Vibration 69 Flash,metal_vibration,20,69,mid-deep,steady/lift-fall,flash,72,66,58,60,allround,2000,FICTIONAL_CONTENT
lure-0169,Yamashiro,Metal Vibration 76 Natural,metal_vibration,28,76,mid-deep,steady/lift-fall,natural,81,68,48,67,power|distance,2400,FICTIONAL_CONTENT
lure-0170,Yamashiro,Metal Vibration 76 Flash,metal_vibration,28,76,mid-deep,steady/lift-fall,flash,81,68,48,67,power|distance,2400,FICTIONAL_CONTENT
lure-0171,Yamashiro,Metal Vibration 83 Natural,metal_vibration,35,83,mid-deep,steady/lift-fall,natural,89,70,39,74,power|distance,2700,FICTIONAL_CONTENT
lure-0172,Yamashiro,Metal Vibration 83 Flash,metal_vibration,35,83,mid-deep,steady/lift-fall,flash,89,70,39,74,power|distance,2700,FICTIONAL_CONTENT
lure-0173,Yamashiro,Small Jig 45 Natural,small_jig,3,45,mid,jerk/fall,natural,53,62,80,45,small-bait|finesse,1200,FICTIONAL_CONTENT
lure-0174,Yamashiro,Small Jig 45 Flash,small_jig,3,45,mid,jerk/fall,flash,53,62,80,45,small-bait|finesse,1200,FICTIONAL_CONTENT
lure-0175,Yamashiro,Small Jig 52 Natural,small_jig,5,52,mid,jerk/fall,natural,56,64,78,47,small-bait|finesse,1300,FICTIONAL_CONTENT
lure-0176,Yamashiro,Small Jig 52 Flash,small_jig,5,52,mid,jerk/fall,flash,56,64,78,47,small-bait|finesse,1300,FICTIONAL_CONTENT
