GearID,Brand,Series,Model,UseClass,LengthM,Power,Action,LureMinG,LureMaxG,LineMinKg,LineMaxKg,WeightG,Sensitivity,Control,FightingPower,CastPotential,PriceJPY,PrimaryUse,Status
rod-0028,Shimara,EXSENSEA,213MHF,Bass Power,2.13,MH,Fast,7,28,6,14,154,68,70,65,48,20300,バス/カバー,FICTIONAL_CONTENT
rod-0029,Shimara,EXSENSEA,223MHF,Bass Power,2.23,MH,Fast,7,28,6,14,157,68,70,65,50,21100,バス/カバー,FICTIONAL_CONTENT
rod-0030,Shimara,EXSENSEA,233MHF,Bass Power,2.33,MH,Fast,7,28,6,14,160,68,70,65,52,21900,バス/カバー,FICTIONAL_CONTENT
rod-0031,Shimara,SOLVIA,214MLF,Chinning,2.14,ML,Fast,3,18,4,10,144,68,70,60,48,22700,チニング,FICTIONAL_CONTENT
rod-0032,Shimara,SOLVIA,224MLF,Chinning,2.24,ML,Fast,3,18,4,10,147,68,70,60,50,21900,チニング,FICTIONAL_CONTENT
rod-0033,Shimara,SOLVIA,234MLF,Chinning,2.34,ML,Fast,3,18,4,10,150,68,70,60,53,21100,チニング,FICTIONAL_CONTENT
rod-0034,Shimara,SOLVIA,244MLF,Chinning,2.44,ML,Fast,3,18,4,10,153,68,70,60,55,21900,チニング,FICTIONAL_CONTENT
rod-0035,Shimara,SOLVIA,254MLF,Chinning,2.54,ML,Fast,3,18,4,10,156,68,70,60,57,22700,チニング,FICTIONAL_CONTENT
rod-0036,Shimara,EXSENSEA,239MLF,Seabass Short,2.39,ML,Fast,5,28,5,12,151,68,70,60,54,23600,港湾シーバス,FICTIONAL_CONTENT
rod-0037,Shimara,EXSENSEA,249MLF,Seabass Short,2.49,ML,Fast,5,28,5,12,154,68,70,60,56,22800,港湾シーバス,FICTIONAL_CONTENT
rod-0038,Shimara,EXSENSEA,259MLF,Seabass Short,2.59,ML,Fast,5,28,5,12,157,68,70,60,58,22000,港湾シーバス,FICTIONAL_CONTENT
rod-0039,Shimara,EXSENSEA,269MLF,Seabass Short,2.69,ML,Fast,5,28,5,12,160,68,66,60,61,22800,港湾シーバス,FICTIONAL_CONTENT
rod-0040,Shimara,EXSENSEA,279MLF,Seabass Short,2.79,ML,Fast,5,28,5,12,163,68,66,60,63,23600,港湾シーバス,FICTIONAL_CONTENT
rod-0041,Shimara,SOLVIA,254MF,Seabass Standard,2.54,M,Fast,7,35,6,14,156,68,70,60,57,24400,河川/湾岸シーバス,FICTIONAL_CONTENT
rod-0042,Shimara,SOLVIA,264MF,Seabass Standard,2.64,M,Fast,7,35,6,14,159,68,66,60,59,23600,河川/湾岸シーバス,FICTIONAL_CONTENT
rod-0043,Shimara,SOLVIA,274MF,Seabass Standard,2.74,M,Fast,7,35,6,14,161,68,66,60,62,22800,河川/湾岸シーバス,FICTIONAL_CONTENT
rod-0044,Shimara,SOLVIA,284MF,Seabass Standard,2.84,M,Fast,7,35,6,14,164,68,66,60,64,23600,河川/湾岸シーバス,FICTIONAL_CONTENT
rod-0045,Shimara,SOLVIA,294MF,Seabass Standard,2.94,M,Fast,7,35,6,14,167,68,66,60,66,24400,河川/湾岸シーバス,FICTIONAL_CONTENT
rod-0046,Shimara,EXSENSEA,270MF,Seabass Long,2.7,M,Fast,10,45,7,16,160,68,66,60,61,25300,大河川/遠投,FICTIONAL_CONTENT
rod-0047,Shimara,EXSENSEA,280MF,Seabass Long,2.8,M,Fast,10,45,7,16,163,68,66,60,63,24500,大河川/遠投,FICTIONAL_CONTENT
rod-0048,Shimara,EXSENSEA,290MF,Seabass Long,2.9,M,Fast,10,45,7,16,166,68,66,60,65,23700,大河川/遠投,FICTIONAL_CONTENT
rod-0049,Shimara,EXSENSEA,300MF,Seabass Long,3,M,Fast,10,45,7,16,169,68,66,60,68,24500,大河川/遠投,FICTIONAL_CONTENT
rod-0050,Shimara,EXSENSEA,310MF,Seabass Long,3.1,M,Fast,10,45,7,16,172,68,66,60,70,25300,大河川/遠投,FICTIONAL_CONTENT
rod-0051,Shimara,SOLVIA,224LF,Eging Light,2.24,L,Fast,3,18,3,8,147,68,70,60,50,26100,ライトエギ,FICTIONAL_CONTENT
rod-0052,Shimara,SOLVIA,234LF,Eging Light,2.34,L,Fast,3,18,3,8,150,68,70,60,53,25300,ライトエギ,FICTIONAL_CONTENT
rod-0053,Shimara,SOLVIA,244LF,Eging Light,2.44,L,Fast,3,18,3,8,153,68,70,60,55,24500,ライトエギ,FICTIONAL_CONTENT
rod-0054,Shimara,SOLVIA,254LF,Eging Light,2.54,L,Fast,3,18,3,8,156,68,70,60,57,25300,ライトエギ,FICTIONAL_CONTENT
rod-0055,Shimara,SOLVIA,264LF,Eging Light,2.64,L,Fast,3,18,3,8,159,68,66,60,59,26100,ライトエギ,FICTIONAL_CONTENT
rod-0056,Shimara,EXSENSEA,231MLF,Eging Standard,2.31,ML,Fast,5,25,4,10,149,68,70,60,52,27000,エギング,FICTIONAL_CONTENT
rod-0057,Shimara,EXSENSEA,241MLF,Eging Standard,2.41,ML,Fast,5,25,4,10,152,68,70,60,54,26200,エギング,FICTIONAL_CONTENT
rod-0058,Shimara,EXSENSEA,251MLF,Eging Standard,2.51,ML,Fast,5,25,4,10,155,68,70,60,56,25400,エギング,FICTIONAL_CONTENT
rod-0059,Shimara,EXSENSEA,261MLF,Eging Standard,2.61,ML,Fast,5,25,4,10,158,68,66,60,59,26200,エギング,FICTIONAL_CONTENT
rod-0060,Shimara,EXSENSEA,271MLF,Eging Standard,2.71,ML,Fast,5,25,4,10,161,68,66,60,61,27000,エギング,FICTIONAL_CONTENT
rod-0061,Shimara,SOLVIA,198MF,Rockfish Light,1.98,M,Fast,3,20,5,12,139,68,70,60,45,27800,ライトロック,FICTIONAL_CONTENT
rod-0062,Shimara,SOLVIA,208MF,Rockfish Light,2.08,M,Fast,3,20,5,12,142,68,70,60,47,27000,ライトロック,FICTIONAL_CONTENT
rod-0063,Shimara,SOLVIA,218MF,Rockfish Light,2.18,M,Fast,3,20,5,12,145,68,70,60,49,26200,ライトロック,FICTIONAL_CONTENT
rod-0064,Shimara,SOLVIA,228MF,Rockfish Light,2.28,M,Fast,3,20,5,12,148,68,70,60,51,27000,ライトロック,FICTIONAL_CONTENT
rod-0065,Shimara,SOLVIA,238MF,Rockfish Light,2.38,M,Fast,3,20,5,12,151,68,70,60,54,27800,ライトロック,FICTIONAL_CONTENT
rod-0066,Shimara,EXSENSEA,216MHF,Rockfish Heavy,2.16,MH,Fast,7,40,8,18,155,68,70,65,49,28700,ロックフィッシュ,FICTIONAL_CONTENT
rod-0067,Shimara,EXSENSEA,226MHF,Rockfish Heavy,2.26,MH,Fast,7,40,8,18,158,68,70,65,51,27900,ロックフィッシュ,FICTIONAL_CONTENT
rod-0068,Shimara,EXSENSEA,236MHF,Rockfish Heavy,2.36,MH,Fast,7,40,8,18,160,68,70,65,53,27100,ロックフィッシュ,FICTIONAL_CONTENT
rod-0069,Shimara,EXSENSEA,246MHF,Rockfish Heavy,2.46,MH,Fast,7,40,8,18,163,68,70,65,55,27900,ロックフィッシュ,FICTIONAL_CONTENT
rod-0070,Shimara,EXSENSEA,256MHF,Rockfish Heavy,2.56,MH,Fast,7,40,8,18,166,68,70,65,58,28700,ロックフィッシュ,FICTIONAL_CONTENT
rod-0071,Shimara,SOLVIA,285MF,Surf,2.85,M,Fast,10,45,8,18,165,68,66,60,69,29500,サーフ,FICTIONAL_CONTENT
rod-0072,Shimara,SOLVIA,295MF,Surf,2.95,M,Fast,10,45,8,18,168,68,66,60,72,28700,サーフ,FICTIONAL_CONTENT
rod-0073,Shimara,SOLVIA,305MF,Surf,3.05,M,Fast,10,45,8,18,170,68,66,60,74,27900,サーフ,FICTIONAL_CONTENT
rod-0074,Shimara,SOLVIA,315MF,Surf,3.15,M,Fast,10,45,8,18,173,68,66,60,77,28700,サーフ,FICTIONAL_CONTENT
rod-0075,Shimara,SOLVIA,325MF,Surf,3.25,M,Fast,10,45,8,18,176,68,66,60,79,29500,サーフ,FICTIONAL_CONTENT
rod-0076,Shimara,EXSENSEA,300MHF,Surf Power,3,MH,Fast,15,60,10,25,179,68,66,65,73,30400,遠投サーフ,FICTIONAL_CONTENT
rod-0077,Shimara,EXSENSEA,310MHF,Surf Power,3.1,MH,Fast,15,60,10,25,182,68,66,65,75,29600,遠投サーフ,FICTIONAL_CONTENT
rod-0078,Shimara,EXSENSEA,320MHF,Surf Power,3.2,MH,Fast,15,60,10,25,185,68,66,65,78,28800,遠投サーフ,FICTIONAL_CONTENT
rod-0079,Shimara,EXSENSEA,330MHF,Surf Power,3.3,MH,Fast,15,60,10,25,188,68,66,65,80,29600,遠投サーフ,FICTIONAL_CONTENT
rod-0080,Shimara,EXSENSEA,340MHF,Surf Power,3.4,MH,Fast,15,60,10,25,191,68,66,65,83,30400,遠投サーフ,FICTIONAL_CONTENT
rod-0081,Shimara,SOLVIA,270MHF,Light Shore Jigging,2.7,MH,Fast,15,60,10,25,170,68,66,65,66,31200,LSJ,FICTIONAL_CONTENT
rod-0082,Shimara,SOLVIA,280MHF,Light Shore Jigging,2.8,MH,Fast,15,60,10,25,173,68,66,65,68,30400,LSJ,FICTIONAL_CONTENT
rod-0083,Shimara,SOLVIA,290MHF,Light Shore Jigging,2.9,MH,Fast,15,60,10,25,176,68,66,65,70,29600,LSJ,FICTIONAL_CONTENT
rod-0084,Shimara,SOLVIA,300MHF,Light Shore Jigging,3,MH,Fast,15,60,10,25,179,68,66,65,73,30400,LSJ,FICTIONAL_CONTENT
rod-0085,Shimara,SOLVIA,310MHF,Light Shore Jigging,3.1,MH,Fast,15,60,10,25,182,68,66,65,75,31200,LSJ,FICTIONAL_CONTENT
rod-0086,Shimara,EXSENSEA,285HM,Shore Jigging,2.85,H,Moderate,30,100,15,35,187,64,66,70,69,32100,ショアジギ,FICTIONAL_CONTENT
rod-0087,Shimara,EXSENSEA,295HM,Shore Jigging,2.95,H,Moderate,30,100,15,35,190,64,66,70,72,31300,ショアジギ,FICTIONAL_CONTENT
rod-0088,Shimara,EXSENSEA,305HM,Shore Jigging,3.05,H,Moderate,30,100,15,35,192,64,66,70,74,30500,ショアジギ,FICTIONAL_CONTENT
rod-0089,Shimara,EXSENSEA,315HM,Shore Jigging,3.15,H,Moderate,30,100,15,35,195,64,66,70,77,31300,ショアジギ,FICTIONAL_CONTENT
rod-0090,Shimara,EXSENSEA,325HM,Shore Jigging,3.25,H,Moderate,30,100,15,35,198,64,66,70,79,32100,ショアジギ,FICTIONAL_CONTENT
rod-0091,Shimara,SOLVIA,300XHM,Heavy Shore Jigging,3,XH,Moderate,50,150,20,45,191,64,66,70,73,32900,大型青物,FICTIONAL_CONTENT
rod-0092,Shimara,SOLVIA,310XHM,Heavy Shore Jigging,3.1,XH,Moderate,50,150,20,45,194,64,66,70,75,32100,大型青物,FICTIONAL_CONTENT
rod-0093,Shimara,SOLVIA,320XHM,Heavy Shore Jigging,3.2,XH,Moderate,50,150,20,45,197,64,66,70,78,31300,大型青物,FICTIONAL_CONTENT
rod-0094,Shimara,SOLVIA,330XHM,Heavy Shore Jigging,3.3,XH,Moderate,50,150,20,45,200,64,66,70,80,32100,大型青物,FICTIONAL_CONTENT
rod-0095,Shimara,SOLVIA,340XHM,Heavy Shore Jigging,3.4,XH,Moderate,50,150,20,45,203,64,66,70,83,32900,大型青物,FICTIONAL_CONTENT
rod-0096,Shimara,EXSENSEA,171MHM,Offshore Light Jig,1.71,MH,Moderate,40,120,12,30,142,64,70,65,38,33800,ライトジギ,FICTIONAL_CONTENT
rod-0097,Shimara,EXSENSEA,181MHM,Offshore Light Jig,1.81,MH,Moderate,40,120,12,30,144,64,70,65,41,33000,ライトジギ,FICTIONAL_CONTENT
rod-0098,Shimara,EXSENSEA,191MHM,Offshore Light Jig,1.91,MH,Moderate,40,120,12,30,147,64,70,65,43,32200,ライトジギ,FICTIONAL_CONTENT
rod-0099,Shimara,EXSENSEA,201MHM,Offshore Light Jig,2.01,MH,Moderate,40,120,12,30,150,64,70,65,45,33000,ライトジギ,FICTIONAL_CONTENT
rod-0100,Shimara,EXSENSEA,211MHM,Offshore Light Jig,2.11,MH,Moderate,40,120,12,30,153,64,70,65,47,33800,ライトジギ,FICTIONAL_CONTENT
rod-0101,Shimara,SOLVIA,163HM,Offshore Jigging,1.63,H,Moderate,80,220,20,50,151,64,70,70,37,34600,オフショアジギ,FICTIONAL_CONTENT
rod-0102,Shimara,SOLVIA,173HM,Offshore Jigging,1.73,H,Moderate,80,220,20,50,154,64,70,70,39,33800,オフショアジギ,FICTIONAL_CONTENT
rod-0103,Shimara,SOLVIA,183HM,Offshore Jigging,1.83,H,Moderate,80,220,20,50,157,64,70,70,41,33000,オフショアジギ,FICTIONAL_CONTENT
rod-0104,Shimara,SOLVIA,193HM,Offshore Jigging,1.93,H,Moderate,80,220,20,50,160,64,70,70,43,33800,オフショアジギ,FICTIONAL_CONTENT
rod-0105,Shimara,SOLVIA,203HM,Offshore Jigging,2.03,H,Moderate,80,220,20,50,163,64,70,70,46,34600,オフショアジギ,FICTIONAL_CONTENT
rod-0106,Shimara,EXSENSEA,219HF,Casting,2.19,H,Fast,30,120,15,40,168,68,70,70,49,35500,オフショアキャスト,FICTIONAL_CONTENT
rod-0107,Shimara,EXSENSEA,229HF,Casting,2.29,H,Fast,30,120,15,40,170,68,70,70,52,34700,オフショアキャスト,FICTIONAL_CONTENT
rod-0108,Shimara,EXSENSEA,239HF,Casting,2.39,H,Fast,30,120,15,40,173,68,70,70,54,33900,オフショアキャスト,FICTIONAL_CONTENT
rod-0109,Shimara,EXSENSEA,249HF,Casting,2.49,H,Fast,30,120,15,40,176,68,70,70,56,34700,オフショアキャスト,FICTIONAL_CONTENT
rod-0110,Shimara,EXSENSEA,259HF,Casting,2.59,H,Fast,30,120,15,40,179,68,70,70,58,35500,オフショアキャスト,FICTIONAL_CONTENT
rod-0111,Shimara,SOLVIA,224XHM,Big Game,2.24,XH,Moderate,60,200,25,60,169,64,70,70,50,36300,大型回遊魚,FICTIONAL_CONTENT
rod-0112,Shimara,SOLVIA,234XHM,Big Game,2.34,XH,Moderate,60,200,25,60,172,64,70,70,53,35500,大型回遊魚,FICTIONAL_CONTENT
rod-0113,Shimara,SOLVIA,244XHM,Big Game,2.44,XH,Moderate,60,200,25,60,175,64,70,70,55,34700,大型回遊魚,FICTIONAL_CONTENT
rod-0114,Shimara,SOLVIA,254XHM,Big Game,2.54,XH,Moderate,60,200,25,60,178,64,70,70,57,35500,大型回遊魚,FICTIONAL_CONTENT
rod-0115,Shimara,SOLVIA,264XHM,Big Game,2.64,XH,Moderate,60,200,25,60,181,64,66,70,59,36300,大型回遊魚,FICTIONAL_CONTENT
rod-0116,Shimara,EXSENSEA,340MM,Bait Fishing,3.4,M,Moderate,3,30,4,12,181,64,66,60,77,37200,餌釣り,FICTIONAL_CONTENT
rod-0117,Shimara,EXSENSEA,350MM,Bait Fishing,3.5,M,Moderate,3,30,4,12,184,64,66,60,79,36400,餌釣り,FICTIONAL_CONTENT
rod-0118,Shimara,EXSENSEA,360MM,Bait Fishing,3.6,M,Moderate,3,30,4,12,186,64,66,60,81,35600,餌釣り,FICTIONAL_CONTENT
rod-0119,Shimara,EXSENSEA,370MM,Bait Fishing,3.7,M,Moderate,3,30,4,12,189,64,66,60,83,36400,餌釣り,FICTIONAL_CONTENT
rod-0120,Shimara,EXSENSEA,380MM,Bait Fishing,3.8,M,Moderate,3,30,4,12,192,64,66,60,86,37200,餌釣り,FICTIONAL_CONTENT
rod-0121,Shimara,SOLVIA,510MM,Float Fishing,5.1,M,Moderate,2,20,3,10,230,64,66,60,100,38000,ウキ/磯,FICTIONAL_CONTENT
rod-0122,Shimara,SOLVIA,520MM,Float Fishing,5.2,M,Moderate,2,20,3,10,233,64,66,60,100,37200,ウキ/磯,FICTIONAL_CONTENT
rod-0123,Shimara,SOLVIA,530MM,Float Fishing,5.3,M,Moderate,2,20,3,10,236,64,66,60,100,36400,ウキ/磯,FICTIONAL_CONTENT
rod-0124,Shimara,SOLVIA,540MM,Float Fishing,5.4,M,Moderate,2,20,3,10,239,64,66,60,100,37200,ウキ/磯,FICTIONAL_CONTENT
rod-0125,Shimara,SOLVIA,550MM,Float Fishing,5.5,M,Moderate,2,20,3,10,242,64,66,60,100,38000,ウキ/磯,FICTIONAL_CONTENT
rod-0126,Shimara,EXSENSEA,250MHM,Bottom Fishing,2.5,MH,Moderate,15,80,10,30,165,64,70,65,56,38900,投げ/底,FICTIONAL_CONTENT
rod-0127,Shimara,EXSENSEA,260MHM,Bottom Fishing,2.6,MH,Moderate,15,80,10,30,167,64,66,65,59,38100,投げ/底,FICTIONAL_CONTENT
rod-0128,Shimara,EXSENSEA,270MHM,Bottom Fishing,2.7,MH,Moderate,15,80,10,30,170,64,66,65,61,37300,投げ/底,FICTIONAL_CONTENT
rod-0129,Shimara,EXSENSEA,280MHM,Bottom Fishing,2.8,MH,Moderate,15,80,10,30,173,64,66,65,63,38100,投げ/底,FICTIONAL_CONTENT
rod-0130,Shimara,EXSENSEA,290MHM,Bottom Fishing,2.9,MH,Moderate,15,80,10,30,176,64,66,65,65,38900,投げ/底,FICTIONAL_CONTENT
rod-0131,Shimara,SOLVIA,190MHM,Boat Bait,1.9,MH,Moderate,20,80,10,30,147,64,70,65,43,39700,船餌,FICTIONAL_CONTENT
rod-0132,Shimara,SOLVIA,200MHM,Boat Bait,2,MH,Moderate,20,80,10,30,150,64,70,65,45,38900,船餌,FICTIONAL_CONTENT
rod-0133,Shimara,SOLVIA,210MHM,Boat Bait,2.1,MH,Moderate,20,80,10,30,153,64,70,65,47,38100,船餌,FICTIONAL_CONTENT
rod-0134,Shimara,SOLVIA,220MHM,Boat Bait,2.2,MH,Moderate,20,80,10,30,156,64,70,65,50,38900,船餌,FICTIONAL_CONTENT
rod-0135,Shimara,SOLVIA,230MHM,Boat Bait,2.3,MH,Moderate,20,80,10,30,159,64,70,65,52,39700,船餌,FICTIONAL_CONTENT
rod-0136,Shimara,EXSENSEA,163ULS,Area Trout,1.63,UL,Slow,0.5,5,1,4,129,61,70,60,37,40600,管理釣り場,FICTIONAL_CONTENT
rod-0137,Shimara,EXSENSEA,173ULS,Area Trout,1.73,UL,Slow,0.5,5,1,4,132,61,70,60,39,39800,管理釣り場,FICTIONAL_CONTENT
rod-0138,Shimara,EXSENSEA,183ULS,Area Trout,1.83,UL,Slow,0.5,5,1,4,135,61,70,60,41,39000,管理釣り場,FICTIONAL_CONTENT
rod-0139,Shimara,EXSENSEA,193ULS,Area Trout,1.93,UL,Slow,0.5,5,1,4,138,61,70,60,43,39800,管理釣り場,FICTIONAL_CONTENT
rod-0140,Shimara,EXSENSEA,203ULS,Area Trout,2.03,UL,Slow,0.5,5,1,4,141,61,70,60,46,40600,管理釣り場,FICTIONAL_CONTENT
rod-0141,Daiva,LUNEX,183ULF,Ajing,1.83,UL,Fast,0.5,5,1.5,4,127,71,71,58,41,17600,軽量ジグ/アジ,FICTIONAL_CONTENT
rod-0142,Daiva,LUNEX,193ULF,Ajing,1.93,UL,Fast,0.5,5,1.5,4,130,71,71,58,43,16800,軽量ジグ/アジ,FICTIONAL_CONTENT
rod-0143,Daiva,LUNEX,203ULF,Ajing,2.03,UL,Fast,0.5,5,1.5,4,132,71,71,58,46,16000,軽量ジグ/アジ,FICTIONAL_CONTENT
rod-0144,Daiva,LUNEX,213ULF,Ajing,2.13,UL,Fast,0.5,5,1.5,4,135,71,71,58,48,16800,軽量ジグ/アジ,FICTIONAL_CONTENT
rod-0145,Daiva,LUNEX,223ULF,Ajing,2.23,UL,Fast,0.5,5,1.5,4,138,71,71,58,50,17600,軽量ジグ/アジ,FICTIONAL_CONTENT
rod-0146,Daiva,MOREVIA,209LF,Mebaring,2.09,L,Fast,1,8,2,5,134,71,71,58,47,18500,メバル/ライト,FICTIONAL_CONTENT
rod-0147,Daiva,MOREVIA,219LF,Mebaring,2.19,L,Fast,1,8,2,5,137,71,71,58,49,17700,メバル/ライト,FICTIONAL_CONTENT
rod-0148,Daiva,MOREVIA,229LF,Mebaring,2.29,L,Fast,1,8,2,5,140,71,71,58,52,16900,メバル/ライト,FICTIONAL_CONTENT
rod-0149,Daiva,MOREVIA,239LF,Mebaring,2.39,L,Fast,1,8,2,5,142,71,71,58,54,17700,メバル/ライト,FICTIONAL_CONTENT
rod-0150,Daiva,MOREVIA,249LF,Mebaring,2.49,L,Fast,1,8,2,5,145,71,71,58,56,18500,メバル/ライト,FICTIONAL_CONTENT
rod-0151,Daiva,LUNEX,155ULM,Trout Stream,1.55,UL,Moderate,1,7,1.5,4,119,66,71,58,35,19300,渓流,FICTIONAL_CONTENT
rod-0152,Daiva,LUNEX,165ULM,Trout Stream,1.65,UL,Moderate,1,7,1.5,4,122,66,71,58,37,18500,渓流,FICTIONAL_CONTENT
rod-0153,Daiva,LUNEX,175ULM,Trout Stream,1.75,UL,Moderate,1,7,1.5,4,125,66,71,58,39,17700,渓流,FICTIONAL_CONTENT
rod-0154,Daiva,LUNEX,185ULM,Trout Stream,1.85,UL,Moderate,1,7,1.5,4,128,66,71,58,42,18500,渓流,FICTIONAL_CONTENT
rod-0155,Daiva,LUNEX,195ULM,Trout Stream,1.95,UL,Moderate,1,7,1.5,4,130,66,71,58,44,19300,渓流,FICTIONAL_CONTENT
rod-0156,Daiva,MOREVIA,193LM,Trout Lake,1.93,L,Moderate,2,12,2,6,130,66,71,58,43,20200,湖トラウト,FICTIONAL_CONTENT
rod-0157,Daiva,MOREVIA,203LM,Trout Lake,2.03,L,Moderate,2,12,2,6,132,66,71,58,46,19400,湖トラウト,FICTIONAL_CONTENT
rod-0158,Daiva,MOREVIA,213LM,Trout Lake,2.13,L,Moderate,2,12,2,6,135,66,71,58,48,18600,湖トラウト,FICTIONAL_CONTENT
rod-0159,Daiva,MOREVIA,223LM,Trout Lake,2.23,L,Moderate,2,12,2,6,138,66,71,58,50,19400,湖トラウト,FICTIONAL_CONTENT
rod-0160,Daiva,MOREVIA,233LM,Trout Lake,2.33,L,Moderate,2,12,2,6,141,66,71,58,52,20200,湖トラウト,FICTIONAL_CONTENT
rod-0161,Daiva,LUNEX,188MLF,Bass Finesse,1.88,ML,Fast,2,12,3,8,128,71,71,58,42,21000,バス/フィネス,FICTIONAL_CONTENT
rod-0162,Daiva,LUNEX,198MLF,Bass Finesse,1.98,ML,Fast,2,12,3,8,131,71,71,58,45,20200,バス/フィネス,FICTIONAL_CONTENT
rod-0163,Daiva,LUNEX,208MLF,Bass Finesse,2.08,ML,Fast,2,12,3,8,134,71,71,58,47,19400,バス/フィネス,FICTIONAL_CONTENT
rod-0164,Daiva,LUNEX,218MLF,Bass Finesse,2.18,ML,Fast,2,12,3,8,137,71,71,58,49,20200,バス/フィネス,FICTIONAL_CONTENT
rod-0165,Daiva,LUNEX,228MLF,Bass Finesse,2.28,ML,Fast,2,12,3,8,139,71,71,58,51,21000,バス/フィネス,FICTIONAL_CONTENT
