GearID,Brand,Series,HookType,Size,StrengthKg,GaugeMm,Penetration,HoldingPower,PriceJPY,Status
hook-0073,Blue Horizon,Assist Series,Assist,1/0,19.9,0.9,68,83,1120,FICTIONAL_CONTENT
hook-0074,Blue Horizon,Assist Series,Assist,2/0,21.7,0.95,67,85,1160,FICTIONAL_CONTENT
hook-0075,Blue Horizon,Assist Series,Assist,3/0,23.5,1.01,66,87,1200,FICTIONAL_CONTENT
hook-0076,Blue Horizon,Assist Series,Assist,4/0,25.3,1.06,65,89,1240,FICTIONAL_CONTENT
hook-0077,Blue Horizon,Assist Series,Assist,5/0,27.1,1.12,64,91,1280,FICTIONAL_CONTENT
hook-0078,Blue Horizon,Assist Series,Assist,7/0,28.9,1.18,62,93,1330,FICTIONAL_CONTENT
hook-0079,Blue Horizon,Assist Series,Assist,9/0,30.7,1.23,61,95,1370,FICTIONAL_CONTENT
hook-0080,Blue Horizon,Assist Series,Assist,11/0,32.5,1.29,60,97,1410,FICTIONAL_CONTENT
hook-0081,Major Crest,Jighead Series,Jighead,#14,1.5,0.38,78,58,380,FICTIONAL_CONTENT
hook-0082,Major Crest,Jighead Series,Jighead,#12,3.3,0.43,77,60,420,FICTIONAL_CONTENT
hook-0083,Major Crest,Jighead Series,Jighead,#10,5.1,0.49,76,62,460,FICTIONAL_CONTENT
hook-0084,Major Crest,Jighead Series,Jighead,#8,6.9,0.55,74,64,510,FICTIONAL_CONTENT
hook-0085,Major Crest,Jighead Series,Jighead,#6,8.7,0.6,73,66,550,FICTIONAL_CONTENT
hook-0086,Major Crest,Jighead Series,Jighead,#4,10.5,0.66,72,68,590,FICTIONAL_CONTENT
hook-0087,Major Crest,Jighead Series,Jighead,#2,12.3,0.71,71,69,630,FICTIONAL_CONTENT
hook-0088,Major Crest,Jighead Series,Jighead,#1,14.1,0.77,70,71,670,FICTIONAL_CONTENT
hook-0089,Major Crest,Jighead Series,Jighead,1/0,15.9,0.82,68,73,720,FICTIONAL_CONTENT
hook-0090,Major Crest,Jighead Series,Jighead,2/0,17.7,0.88,67,75,760,FICTIONAL_CONTENT
hook-0091,Major Crest,Jighead Series,Jighead,3/0,19.5,0.93,66,77,800,FICTIONAL_CONTENT
